time_bucket_length,location_bucket,linear_svr_best_params,linear_svr_best_score,poly_svr_best_params,poly_svr_best_score,rbf_svr_best_params,rbf_svr_best_score
1,h3_07,"{'C': 100, 'epsilon': 0.5}",-1132.6749204483501,"{'C': 100, 'degree': 5, 'epsilon': 0.5, 'gamma': 'scale'}",-487.9478372623166,"{'C': 100, 'epsilon': 0.3, 'gamma': 0.1}",-463.3449321883962
1,h3_08,"{'C': 100, 'epsilon': 0.4}",-147.94681260657626,"{'C': 10, 'degree': 3, 'epsilon': 0.5, 'gamma': 0.1}",-108.51635356168183,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-66.73158265932761
1,h3_09,"{'C': 100, 'epsilon': 0.5}",-393.2698259432774,"{'C': 100, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.1}",-241.7338990794072,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-147.14299823180085
2,h3_07,"{'C': 100, 'epsilon': 0.5}",-8838.90211897324,"{'C': 100, 'degree': 4, 'epsilon': 0.5, 'gamma': 0.1}",-3281.603961232079,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-3630.8657690676782
2,h3_08,"{'C': 100, 'epsilon': 0.5}",-7664.302162745838,"{'C': 100, 'degree': 2, 'epsilon': 0.5, 'gamma': 0.1}",-4239.208157153973,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-2441.5727227563607
2,h3_09,"{'C': 100, 'epsilon': 0.5}",-109.05044111912943,"{'C': 10, 'degree': 3, 'epsilon': 0.5, 'gamma': 0.1}",-53.4109036697558,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-39.473680806735764
6,h3_07,"{'C': 100, 'epsilon': 0.5}",-894824.0706865735,"{'C': 100, 'degree': 3, 'epsilon': 0.2, 'gamma': 0.1}",-481422.46003075165,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-481105.05159184395
6,h3_08,"{'C': 10, 'epsilon': 0.5}",-12784.367414707955,"{'C': 100, 'degree': 4, 'epsilon': 0.5, 'gamma': 0.1}",-2672.3787985113536,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-3192.128520486773
6,h3_09,"{'C': 100, 'epsilon': 0.5}",-3742.1620259072943,"{'C': 100, 'degree': 5, 'epsilon': 0.5, 'gamma': 0.1}",-964.4432887195428,"{'C': 100, 'epsilon': 0.3, 'gamma': 0.1}",-1474.611107928206
24,h3_07,"{'C': 100, 'epsilon': 0.5}",-302277.106647976,"{'C': 100, 'degree': 3, 'epsilon': 0.2, 'gamma': 0.1}",-221593.27685710666,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-149062.00240925292
24,h3_08,"{'C': 100, 'epsilon': 0.3}",-6346.628582329715,"{'C': 100, 'degree': 3, 'epsilon': 0.3, 'gamma': 0.1}",-9053.426648391829,"{'C': 100, 'epsilon': 0.3, 'gamma': 0.1}",-3560.0793812081115
24,h3_09,"{'C': 100, 'epsilon': 0.4}",-76877.08837675171,"{'C': 100, 'degree': 3, 'epsilon': 0.1, 'gamma': 0.1}",-488377.8931651997,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-107497.83045358525
