time_bucket_length,location_bucket,rbf_svr_best_params,rbf_svr_best_score,mae,mape,mse,r2
1,h3_05,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-96335.69389672021,113.68,1.04,88163.63,0.8451
1,h3_06,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-43727.22887004999,81.01,1.4,41303.45,0.8639
2,h3_05,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-437172.18781818554,239.02,1.18,405867.92,0.8181
2,h3_06,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-200344.7053073706,158.55,1.76,174366.56,0.8522
4,h3_05,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.1}",-2257944.2675624387,567.96,1.09,2246538.09,0.7476
4,h3_06,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-1028657.8660742191,354.65,1.61,978122.06,0.7842
6,h3_05,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.1}",-6100040.739079163,795.83,1.74,4745243.67,0.7159
6,h3_06,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-2502311.042829619,511.04,2.81,2114939.46,0.7563
24,h3_05,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.1}",-204524780.64940524,5791.53,0.49,190649419.41,0.0756
24,h3_06,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-75189136.9019047,2551.15,4.28,64767037.51,0.2126
1,h3_07,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-21782.070737619604,68.56,0.93,23587.0,0.8761
1,h3_08,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-1043.6192818348322,12.13,0.88,915.12,0.7751
1,h3_09,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-60.41177178714789,4.5,0.7,68.22,0.659
2,h3_07,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.1}",-30693.94496585569,80.53,1.65,28974.2,0.8486
2,h3_08,"{'C': 100, 'epsilon': 0.3, 'gamma': 0.1}",-8899.9529836714,39.36,1.32,8689.58,0.8731
2,h3_09,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-904.7770879725565,16.39,0.84,869.95,0.8904
4,h3_07,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-8644.318269835749,35.05,1.26,8837.75,0.5848
4,h3_08,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-1591.1919402338233,13.96,0.9,1299.7,0.6572
4,h3_09,"{'C': 100, 'epsilon': 0.4, 'gamma': 0.1}",-3149.098783074688,25.39,0.95,2821.67,0.8013
6,h3_07,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.1}",-138772.69395586188,113.63,1.3,130013.6,0.8809
6,h3_08,"{'C': 100, 'epsilon': 0.2, 'gamma': 0.1}",-7191.062402779498,39.89,1.18,7301.48,0.7892
6,h3_09,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-55618.989344103924,65.39,0.99,44058.56,0.904
24,h3_07,"{'C': 100, 'epsilon': 0.5, 'gamma': 'scale'}",-10882705.608705325,997.2,1.58,8850145.27,0.7622
24,h3_08,"{'C': 100, 'epsilon': 0.3, 'gamma': 'scale'}",-1589.5110224768946,16.9,1.07,1318.76,0.8693
24,h3_09,"{'C': 100, 'epsilon': 0.5, 'gamma': 0.1}",-1260.0210018210282,16.4,0.79,1083.36,0.9066
1,centroid,"{'C': 100, 'epsilon': 0.5, 'gamma': 'scale'}",-195.95808942124657,7.59,0.75,190.77,0.8071
2,centroid,"{'C': 100, 'epsilon': 0.5, 'gamma': 'scale'}",-293.3237605132161,7.62,1.04,283.07,0.5567
4,centroid,"{'C': 100, 'epsilon': 0.5, 'gamma': 'scale'}",-9248.63792021771,43.83,1.46,9134.94,0.8956
6,centroid,"{'C': 100, 'epsilon': 0.5, 'gamma': 'scale'}",-4602.90268791557,27.41,1.06,4382.78,0.8516
24,centroid,"{'C': 100, 'epsilon': 0.5, 'gamma': 'scale'}",-9447.337539350327,35.29,1.0,9808.54,0.8474
